ID,dia,mes,anio,variable,fechapatria,local,Descripcion,ampliación
1,1,1,,,F,F,La Jornada mundial por la paz y la Jornada argentina por la paz,
2,1,1,,,F,F,El día del Hijo,
3,1,1,,,F,F,El Año nuevo,
4,6,1,,,F,F,El día de reyes,
5,7,1,,,F,F,El día del Coleccionista,
6,10,1,,,F,F,El día de los Trabajadores del Transporte,
7,10,1,,,F,F,El día del Pizzero y Pastelero,
8,19,1,,,F,F,El día Internacional de la Religión,
9,19,1,,,F,F,El día de los Muertos de la Aeronáutica Militar,
10,19,1,,,F,F,El día del Cervecero,
11,22,1,,,F,F,El día Nacional de la Antártida Argentina,
12,23,1,,,F,F,El día Mundial de la Libertad,
13,25,1,1997,,F,F,El día Nacional del Reportero Gráfico,
14,26,1,,,F,F,El día del Pescador,
15,27,1,,,F,F,El día Mundial del Espacio Ultraterrestre,
16,31,1,,,F,F,El día de la Patagonia,
17,1,2,,,F,F,El día de la Vinicultura,
18,2,2,1536,,F,F,"La primera fundación de la ciudad de Buenos Aires, en la banda derecha del Río de la Plata (1536).","La ciudad fue denominada así en honor a la ""Virgen del Buen Aire"", protectora de los navegantes y venerada en Cerdeña."
19,2,2,1878,,F,F,La fundación de la ciudad de Resistencia (Chaco) (1878).,
20,3,2,,,F,F,El día de Conmemoración del Combate de San Lorenzo,
21,4,2,,,F,F,El día del Guardavidas,
22,5,2,,,F,F,El día del Trabajador Deportivo,
23,6,2,,,F,F,El día del Guardabosque,
24,10,2,1874,,F,F,La fundación de la ciudad de Mar Del Plata (1874).,
25,11,2,,,F,F,El Carnaval,
26,12,2,,,F,F,El Carnaval,
27,14,2,,,F,F,El día del Técnico Nacional,
28,14,2,,,F,F,El día de los Enamorados,
29,14,2,,,F,F,El día del Agua y la Energía,
30,15,2,,,F,F,El día del Redactor Publicitario,
31,16,2,,,F,F,El día del Trabajador de la Pesca Industrial,
32,18,2,,,F,F,El día de la Mujer de las Américas,
33,22,2,,,F,F,El día de la Antártida Argentina.,
34,24,2,,,F,F,El día del Trabajador Mecánico Automotor,
35,27,2,,,F,F,El día del Civismo,
36,1,3,,,F,F,El día del Transporte,
37,1,3,,,F,F,El día del Turismo Americano,
38,1,3,,,F,F,El día del Lustrador de Calzado,
39,1,3,,,F,F,El día del Campo,
40,2,3,1561,,F,F,La fundación de la ciudad de Mendoza (1561).,
41,3,3,,,F,F,El día del Aniversario de la muerte del Alte. Guillermo Brown,
42,4,3,,,F,F,El día de los hermanos,
43,4,3,,,F,F,El día Universal de la Oración,
44,5,3,,,F,F,El día del Gas,
45,6,3,,,F,F,El día del Escultor,
46,8,3,,,F,F,El día Internacional de la Mujer,
47,9,3,,,F,F,El día de los Niños Heroicos. Batalla de Tacuarí.,
48,12,3,,,F,F,El día del Escudo Nacional,
49,14,3,,,F,F,El día de las Escuelas de Frontera.,"Decreto del Poder Ejecutivo Nacional Nº 1531, de 1972."
50,14,3,,,F,F,El día del Trabajador de la Alimentación,
51,15,3,,,F,F,El día Internacional del Consumidor,
52,16,3,,,F,F,El día de la Seguridad,
53,18,3,,,F,F,El día del Ruralista,
54,18,3,,,F,F,El día del Trabajador Telefónico,
55,19,3,,,F,F,El día del artesano,
56,19,3,,,F,F,El día del Carpintero,
57,19,3,,,F,F,El día del Industrial Maderero,
58,20,3,,,F,F,El día de la Energía Eléctrica,
59,21,3,,,F,F,El Comienzo el Otoño (en el hemisferio sur),
60,21,3,1960,,F,F,El día Internacional de la Eliminación de la Discriminación Racial,"Se recuerda una manifestación pacífica ocurrida en Sharpevile (Sudáfrica), en oposición a una de las leyes del apartheid. Durante la misma, la policía disparó contra personas de piel negra. Resultaron sesenta y nueve muertos. En 1966 la Asamblea General de las Naciones Unidas eligió esta fecha para recordar la necesidad de que en el mundo se elimine toda forma de discriminación racial."
61,21,3,,,F,F,El día Forestal Mundial,"Fue instituido en 1971 por la Organización de las Naciones Unidas para la Agricultura y la Alimentación (FAO) y está dedicado a todos los árboles del bosque, aún a aquellos que han sido transplantados a los parques, jardines, calles y plazas."
62,21,3,,,F,F,El día Mundial de la Poesía,"La última reunión de la Conferencia General de la Unesco, celebrada en octubre-noviembre de 1999, decidió proclamar el 21 de marzo como el ""Día Mundial de la Poesía""."
63,21,3,,,F,F,El día de la Tierra,
