ID_cat,Orden,Nombre
1,1,Destacados
2,2,Agencias de Noticias
3,3,Arquitectura & Decoración
4,4,Arte & Literatura
5,5,Automóviles
6,6,Bancos
7,7,Buscadores
8,8,Campo
9,9,Chicos
10,10,Ciencia
11,11,Deportes
12,12,Descargas de Archivos
13,13,Diarios
14,14,Drivers
15,15,Ecología
16,16,Economía
17,17,Educación
18,18,El Tiempo
19,19,Humor
20,20,Juegos
21,21,Medicina y Salud
22,22,Moda
23,23,Música
24,24,Portales
25,25,Radios On-Line
26,26,Revistas
27,27,Sitios Gubernamentales
28,28,Sitios Locales
29,29,Tarjetas y Servicios
30,30,Tiempo Libre
31,31,Turismo
32,32,Cooperativismo
33,33,Correo electrónico
